epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1547.3,0.61288,1.19205,0.83471,0.97478,0.94341,0.97485,0.89477,0.56472,0.7444,0.82851,0.00029705,0.00029705,0.00029705
43,1615.71,0.62575,1.15451,0.82422,0.97275,0.94447,0.97841,0.89952,0.57526,0.73937,0.82982,0.0002921,0.0002921,0.0002921
44,1635.42,0.62821,1.21491,0.83182,0.90704,0.98162,0.97768,0.89691,0.57582,0.72273,0.83134,0.00028715,0.00028715,0.00028715
45,1721.38,0.62045,1.11707,0.81812,0.91491,0.97619,0.98351,0.90325,0.57847,0.71944,0.82797,0.0002822,0.0002822,0.0002822
46,1747.75,0.60122,1.11491,0.82785,0.93262,0.97193,0.98394,0.90796,0.57025,0.70525,0.82636,0.00027725,0.00027725,0.00027725
47,1841.61,0.62018,1.08978,0.82916,0.91737,0.99482,0.98517,0.90803,0.558,0.68698,0.82473,0.0002723,0.0002723,0.0002723
48,1859.01,0.60042,1.08072,0.82225,0.94794,0.98406,0.99302,0.91511,0.56783,0.69901,0.82477,0.00026735,0.00026735,0.00026735
49,1932.71,0.61744,1.11843,0.83304,0.95781,0.98209,0.995,0.91597,0.57222,0.71198,0.82333,0.0002624,0.0002624,0.0002624
50,1979.54,0.5966,1.10307,0.82611,0.95147,0.98644,0.995,0.91826,0.55939,0.69624,0.82395,0.00025745,0.00025745,0.00025745
51,2044.73,0.6298,1.11103,0.83283,0.94148,0.98142,0.995,0.91821,0.56092,0.67949,0.82507,0.0002525,0.0002525,0.0002525
52,2087.01,0.58336,1.01998,0.82222,0.95616,0.96561,0.99373,0.90876,0.57358,0.68513,0.82566,0.00024755,0.00024755,0.00024755
53,2164.27,0.62423,1.04655,0.81745,0.96662,0.96035,0.98714,0.90481,0.57694,0.68924,0.82499,0.0002426,0.0002426,0.0002426
54,2194.98,0.59188,1.0582,0.81692,0.97406,0.95386,0.99302,0.91195,0.56744,0.69309,0.82366,0.00023765,0.00023765,0.00023765
55,2282.58,0.63142,1.10651,0.83074,0.93062,0.97465,0.99302,0.90908,0.56601,0.69847,0.82432,0.0002327,0.0002327,0.0002327
56,2312.99,0.6015,1.0022,0.82227,0.9447,0.97922,0.995,0.90977,0.5628,0.69399,0.8265,0.00022775,0.00022775,0.00022775
57,2388.42,0.61326,1.02591,0.82181,0.94636,0.98317,0.995,0.9137,0.56516,0.6806,0.82509,0.0002228,0.0002228,0.0002228
58,2398.66,0.60017,1.01807,0.82766,0.95738,0.9889,0.995,0.91547,0.567,0.66645,0.82189,0.00021785,0.00021785,0.00021785
59,2469.18,0.58976,0.9881,0.815,0.9666,0.99293,0.995,0.9156,0.55088,0.65114,0.82133,0.0002129,0.0002129,0.0002129
60,2487.8,0.58788,0.96414,0.82417,0.97072,0.99352,0.995,0.91646,0.54844,0.65384,0.82394,0.00020795,0.00020795,0.00020795
