epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1078.73,0.69947,1.59792,0.85827,0.91536,0.98083,0.99167,0.87474,0.59506,1.31761,0.84855,0.00047528,0.00047528,0.00047528
43,1105.18,0.74644,1.68468,0.85186,0.92745,0.9866,0.995,0.87662,0.59739,1.29034,0.85037,0.00046736,0.00046736,0.00046736
44,1130.98,0.69916,1.5554,0.85378,0.92738,0.98334,0.995,0.88517,0.58028,1.25044,0.84749,0.00045944,0.00045944,0.00045944
45,1156.69,0.70692,1.55884,0.84274,0.92425,0.98275,0.99386,0.87796,0.59431,1.25016,0.84332,0.00045152,0.00045152,0.00045152
46,1181.89,0.69802,1.5373,0.84919,0.94756,0.95846,0.99386,0.88433,0.57805,1.25488,0.84013,0.0004436,0.0004436,0.0004436
47,1207.13,0.71549,1.5261,0.84249,0.95093,0.96652,0.995,0.89031,0.55804,1.24003,0.84082,0.00043568,0.00043568,0.00043568
48,1232.15,0.67703,1.50782,0.84392,0.95064,0.99421,0.995,0.88405,0.57213,1.20944,0.8426,0.00042776,0.00042776,0.00042776
49,1257.23,0.66987,1.48631,0.84032,0.94421,0.9906,0.995,0.89171,0.55441,1.2166,0.83873,0.00041984,0.00041984,0.00041984
50,1281.84,0.62543,1.39141,0.84966,0.94728,0.97391,0.99289,0.88786,0.56036,1.21586,0.83426,0.00041192,0.00041192,0.00041192
51,1307.67,0.69137,1.46744,0.8379,0.92473,0.97695,0.99436,0.88115,0.57875,1.19379,0.84138,0.000404,0.000404,0.000404
52,1333.03,0.67508,1.40388,0.85156,0.9326,0.98241,0.99157,0.88034,0.58455,1.15925,0.84335,0.00039608,0.00039608,0.00039608
53,1357.51,0.65669,1.37166,0.84186,0.93218,0.97786,0.98949,0.88084,0.57136,1.12453,0.84335,0.00038816,0.00038816,0.00038816
54,1382.72,0.66092,1.46022,0.84031,0.95105,0.96915,0.99009,0.86872,0.5853,1.14006,0.84117,0.00038024,0.00038024,0.00038024
